Y,X,Name
1.427492776,103.7922408,kml_1
1.354658083,103.8895462,kml_2
1.397127918,103.8866657,kml_3
1.366833481,103.8406681,kml_4
1.320799304,103.7475402,kml_5
1.324246598,103.9360478,kml_6
1.338730654,103.87167,kml_7
1.349511618,103.8505093,kml_8
1.348323225,103.7113802,kml_9
1.351612246,103.8703679,kml_10
1.383434763,103.8921905,kml_11
1.350190806,103.7475144,kml_12
1.348987388,103.7581958,kml_13
1.285254266,103.8158285,kml_14
1.376450749,103.7705588,kml_15
1.34050086,103.7716096,kml_16
1.309258715,103.7926194,kml_17
1.310434338,103.8388649,kml_18
1.445044127,103.8194737,kml_19
1.344935531,103.9551109,kml_20
1.371780447,103.84957,kml_21
1.43083237,103.8292349,kml_22
1.38115529,103.7519039,kml_23
1.375148978,103.8828942,kml_24
1.318815188,103.7681537,kml_25
1.302529945,103.7832717,kml_26
1.332552778,103.9151436,kml_27
1.330498792,103.9399957,kml_28
1.330707618,103.9366136,kml_29
1.391725516,103.8770005,kml_30
1.429529819,103.7748119,kml_31
1.294993278,103.8667755,kml_32
1.384947027,103.9434462,kml_33
1.45903794,103.8436503,kml_34
1.348689819,103.6987263,kml_35
1.316450168,103.896597,kml_36
1.315691108,103.8723879,kml_37
1.286010157,103.8233153,kml_38
1.361967244,103.7642664,kml_39
1.359058888,103.7494568,kml_40
1.364757432,103.8926222,kml_41
1.3736001,103.873891,kml_42
1.286329405,103.8464793,kml_43
1.308004171,103.8617866,kml_44
1.307457206,103.9041689,kml_45
1.350556032,103.7253416,kml_46
1.348330169,103.7181557,kml_47
1.33338207,103.9268462,kml_48
1.317802905,103.8623733,kml_49
1.326984988,103.9316206,kml_50
1.302795218,103.8635979,kml_51
1.323155199,103.9126987,kml_52
1.317846431,103.9007501,kml_53
1.300591174,103.8847489,kml_54
1.384065159,103.7449238,kml_55
1.373007499,103.8376124,kml_56
1.28968266,103.8307064,kml_57
1.324154318,103.8696931,kml_58
1.281192576,103.8430129,kml_59
1.289787119,103.8144483,kml_60
1.394917584,103.7447279,kml_61
1.323537088,103.8844812,kml_62
1.304828598,103.9095453,kml_63
1.440656777,103.7736152,kml_64
1.362137568,103.8412862,kml_65
1.300177628,103.8840432,kml_66
1.309234637,103.8868268,kml_67
1.342364028,103.6923202,kml_68
1.428035845,103.8360921,kml_69
1.431020872,103.8384881,kml_70
1.415174966,103.8346931,kml_71
1.408617595,103.9050878,kml_72
1.368587029,103.959198,kml_73
1.378429437,103.9424764,kml_74
1.357798605,103.8860921,kml_75
1.313058648,103.8513738,kml_76
1.332535912,103.8670368,kml_77
1.393606242,103.9134641,kml_78
1.374378821,103.8918153,kml_79
1.377734444,103.8962529,kml_80
1.403284291,103.9072886,kml_81
1.404515901,103.8956649,kml_82
1.299150228,103.8013051,kml_83
1.275931018,103.8197531,kml_84
1.385152764,103.9023195,kml_85
1.451681528,103.8287832,kml_86
1.392785586,103.8939061,kml_87
1.38158679,103.7646596,kml_88
1.321631858,103.9433366,kml_89
1.317291936,103.9467421,kml_90
1.313158952,103.9306235,kml_91
1.335306801,103.7216264,kml_92
1.353496155,103.9396836,kml_93
1.345813346,103.9476878,kml_94
1.353356826,103.9546205,kml_95
1.357364788,103.9466027,kml_96
1.348750764,103.9356334,kml_97
1.323384468,103.8268772,kml_98
1.27616698,103.8415842,kml_99
1.363088679,103.8535361,kml_100
1.274862657,103.8078754,kml_101
1.356752418,103.7345001,kml_102
1.340469564,103.7044527,kml_103
1.370054862,103.8739276,kml_104
1.358588416,103.8455225,kml_105
1.351253853,103.8362623,kml_106
1.283452517,103.8318827,kml_107
1.334934517,103.8502045,kml_108
1.336274892,103.8547002,kml_109
1.33489037,103.859379,kml_110
1.335382712,103.8448309,kml_111
1.312009409,103.7892112,kml_112
1.30264556,103.7648321,kml_113
1.324639594,103.8569792,kml_114
1.431771022,103.7850069,kml_115
1.439730339,103.7882354,kml_116
1.439041607,103.802611,kml_117
1.394917584,103.7447279,kml_118
1.381517272,103.8414281,kml_119
1.425035669,103.8463992,kml_120
1.339972853,103.7370659,kml_121
1.386806829,103.7715208,kml_122
1.341262838,103.9330104,kml_123
1.311727991,103.952223,kml_124
1.339359554,103.7272995,kml_125
