WKT,name,Cleaned data,Longitude,Latitude
POINT (103.7831445 1.2937083),National University Hospital,103.7831445 1.2937083,103.7831445,1.2937083
POINT (103.7453915 1.3337448),Ng Teng Fong General Hospital,103.7453915 1.3337448,103.7453915,1.3337448
POINT (103.8012749 1.2865882),Alexandra Hospital,103.8012749 1.2865882,103.8012749,1.2865882
POINT (103.8468048 1.3105564),KK Women's and Children's Hospital,103.8468048 1.3105564,103.8468048,1.3105564
POINT (103.8385907 1.4242972),Khoo Teck Puat Hospital,103.8385907 1.4242972,103.8385907,1.4242972
POINT (103.8464425 1.3209017),Tan tock seng hospital emergency,103.8464425 1.3209017,103.8464425,1.3209017
POINT (103.8934578 1.3954449),Sengkang General Hospital,103.8934578 1.3954449,103.8934578,1.3954449
POINT (103.9495701 1.3401915),Changi General Hospital,103.9495701 1.3401915,103.9495701,1.3401915
POINT (103.8348123 1.2804242),Singapore General Hospital,103.8348123 1.2804242,103.8348123,1.2804242
POINT (103.7946271 1.4250207),Woodlands Health Campus,103.7946271 1.4250207,103.7946271,1.4250207
